Time Log File
Elapsed time: 0.0397686 seconds
Elapsed time: 0.0405826 seconds
Elapsed time: 0.0408806 seconds
Elapsed time: 0.0416718 seconds
Elapsed time: 0.0439403 seconds
Elapsed time: 0.0412243 seconds
Elapsed time: 0.041975 seconds
Elapsed time: 0.042384 seconds
Elapsed time: 0.0420314 seconds
Elapsed time: 0.0423653 seconds
Elapsed time: 0.0406243 seconds
Elapsed time: 0.0403079 seconds
Elapsed time: 0.0405094 seconds
Elapsed time: 0.041772 seconds
Elapsed time: 0.0414925 seconds
Elapsed time: 0.0415675 seconds
Elapsed time: 0.0415035 seconds
Elapsed time: 0.042852 seconds
Elapsed time: 0.0417793 seconds
Elapsed time: 0.042404 seconds
Elapsed time: 0.0404021 seconds
Elapsed time: 0.0405255 seconds
Elapsed time: 0.0428868 seconds
Elapsed time: 0.0393791 seconds
Elapsed time: 0.0371461 seconds
Elapsed time: 0.0399162 seconds
Elapsed time: 0.0393944 seconds
Elapsed time: 0.038498 seconds
Elapsed time: 0.0404313 seconds
Elapsed time: 0.0396883 seconds
Elapsed time: 0.0407179 seconds
Elapsed time: 0.0387538 seconds
Elapsed time: 0.0424465 seconds
Elapsed time: 0.0396034 seconds
Elapsed time: 0.0396086 seconds
Elapsed time: 0.0435954 seconds
Elapsed time: 0.0430188 seconds
Elapsed time: 0.0419208 seconds
Elapsed time: 0.0397126 seconds
Elapsed time: 0.0412126 seconds
Elapsed time: 0.0423066 seconds
Elapsed time: 0.0410995 seconds
Elapsed time: 0.039616 seconds
Elapsed time: 0.0418405 seconds
Elapsed time: 0.0405286 seconds
Elapsed time: 0.0409014 seconds
Elapsed time: 0.042738 seconds
Elapsed time: 0.0407684 seconds
Elapsed time: 0.0401754 seconds
Elapsed time: 0.0388975 seconds
Elapsed time: 0.0408848 seconds
Elapsed time: 0.0419001 seconds
Elapsed time: 0.0402364 seconds
Elapsed time: 0.0404998 seconds
Elapsed time: 0.0396861 seconds
Elapsed time: 0.0401809 seconds
Elapsed time: 0.0414483 seconds
Elapsed time: 0.040693 seconds
Elapsed time: 0.0430634 seconds
Elapsed time: 0.0418504 seconds
Elapsed time: 0.04219 seconds
Elapsed time: 0.0421969 seconds
Elapsed time: 0.0426958 seconds
Elapsed time: 0.0451165 seconds
Elapsed time: 0.0436126 seconds
Elapsed time: 0.0416966 seconds
Elapsed time: 0.0400555 seconds
Elapsed time: 0.0396215 seconds
Elapsed time: 0.0410372 seconds
Elapsed time: 0.0395659 seconds
Elapsed time: 0.0411938 seconds
Elapsed time: 0.0446732 seconds
Elapsed time: 0.0418235 seconds
Elapsed time: 0.0409813 seconds
Elapsed time: 0.0409298 seconds
Elapsed time: 0.0423144 seconds
Elapsed time: 0.0411788 seconds
Elapsed time: 0.0398333 seconds
Elapsed time: 0.0396453 seconds
Elapsed time: 0.0401852 seconds
Elapsed time: 0.0414888 seconds
Elapsed time: 0.0401435 seconds
Elapsed time: 0.0405908 seconds
Elapsed time: 0.042474 seconds
Elapsed time: 0.0388336 seconds
Elapsed time: 0.0396092 seconds
Elapsed time: 0.0380846 seconds
Elapsed time: 0.0410488 seconds
Elapsed time: 0.0396454 seconds
Elapsed time: 0.0411146 seconds
Elapsed time: 0.0412656 seconds
Elapsed time: 0.0409699 seconds
Elapsed time: 0.0408282 seconds
Elapsed time: 0.043297 seconds
Elapsed time: 0.0417868 seconds
Elapsed time: 0.0428155 seconds
Elapsed time: 0.0417858 seconds
Elapsed time: 0.0425953 seconds
Elapsed time: 0.0439265 seconds
Elapsed time: 0.041703 seconds
Elapsed time: 0.0442673 seconds
Elapsed time: 0.0437278 seconds
Elapsed time: 0.0430599 seconds
Elapsed time: 0.0435512 seconds
Elapsed time: 0.0436638 seconds
Elapsed time: 0.0443406 seconds
Elapsed time: 0.0429677 seconds
Elapsed time: 0.0437483 seconds
Elapsed time: 0.0492254 seconds
Elapsed time: 0.0434525 seconds
Elapsed time: 0.0424953 seconds
Elapsed time: 0.0406123 seconds
Elapsed time: 0.0419383 seconds
Elapsed time: 0.0416855 seconds
Elapsed time: 0.0404902 seconds
Elapsed time: 0.0398646 seconds
Elapsed time: 0.0382917 seconds
Elapsed time: 0.0391813 seconds
Elapsed time: 0.0379673 seconds
Elapsed time: 0.0391311 seconds
Elapsed time: 0.0416617 seconds
Elapsed time: 0.0382907 seconds
Elapsed time: 0.0394575 seconds
Elapsed time: 0.0402518 seconds
Elapsed time: 0.0401085 seconds
Elapsed time: 0.0460665 seconds
Elapsed time: 0.0414485 seconds
Elapsed time: 0.040388 seconds
Elapsed time: 0.0409499 seconds
Elapsed time: 0.0424549 seconds
Elapsed time: 0.0438466 seconds
Elapsed time: 0.0405853 seconds
Elapsed time: 0.040959 seconds
Elapsed time: 0.0437458 seconds
Elapsed time: 0.0413714 seconds
Elapsed time: 0.0416728 seconds
Elapsed time: 0.0402466 seconds
Elapsed time: 0.0405607 seconds
Elapsed time: 0.0454902 seconds
Elapsed time: 0.0421229 seconds
Elapsed time: 0.0430573 seconds
Elapsed time: 0.042755 seconds
Elapsed time: 0.0413306 seconds
Elapsed time: 0.0387058 seconds
Elapsed time: 0.0419889 seconds
Elapsed time: 0.0413248 seconds
Elapsed time: 0.0404325 seconds
Elapsed time: 0.0424988 seconds
Elapsed time: 0.0422215 seconds
Elapsed time: 0.0408709 seconds
Elapsed time: 0.042923 seconds
Elapsed time: 0.0423347 seconds
Elapsed time: 0.0423095 seconds
Elapsed time: 0.0417323 seconds
Elapsed time: 0.0422389 seconds
Elapsed time: 0.0413897 seconds
Elapsed time: 0.041372 seconds
Elapsed time: 0.03952 seconds
Elapsed time: 0.0395207 seconds
Elapsed time: 0.0403078 seconds
Elapsed time: 0.0389943 seconds
Elapsed time: 0.0402788 seconds
Elapsed time: 0.0399205 seconds
Elapsed time: 0.0385802 seconds
Elapsed time: 0.0383134 seconds
Elapsed time: 0.0381372 seconds
Elapsed time: 0.0384523 seconds
Elapsed time: 0.0388284 seconds
Elapsed time: 0.038584 seconds
Elapsed time: 0.0388019 seconds
Elapsed time: 0.0389217 seconds
Elapsed time: 0.0387386 seconds
Elapsed time: 0.0393829 seconds
Elapsed time: 0.0415976 seconds
Elapsed time: 0.0412624 seconds
Elapsed time: 0.0393994 seconds
Elapsed time: 0.0376366 seconds
Elapsed time: 0.0372957 seconds
Elapsed time: 0.0387938 seconds
Elapsed time: 0.0405125 seconds
Elapsed time: 0.0360127 seconds
Elapsed time: 0.0366609 seconds
Elapsed time: 0.0401589 seconds
Elapsed time: 0.038998 seconds
Elapsed time: 0.0380482 seconds
Elapsed time: 0.037987 seconds
Elapsed time: 0.0387933 seconds
Elapsed time: 0.039914 seconds
Elapsed time: 0.043421 seconds
Elapsed time: 0.0393542 seconds
Elapsed time: 0.0389106 seconds
