Time Log File
Elapsed time: 0.00976154 seconds
Elapsed time: 0.00974558 seconds
Elapsed time: 0.00974625 seconds
Elapsed time: 0.00974396 seconds
Elapsed time: 0.00976658 seconds
Elapsed time: 0.00975121 seconds
Elapsed time: 0.00976008 seconds
Elapsed time: 0.00980746 seconds
Elapsed time: 0.00974271 seconds
Elapsed time: 0.00977425 seconds
Elapsed time: 0.00973562 seconds
Elapsed time: 0.00976404 seconds
Elapsed time: 0.00978467 seconds
Elapsed time: 0.00977008 seconds
Elapsed time: 0.00974267 seconds
Elapsed time: 0.00978054 seconds
Elapsed time: 0.0105707 seconds
Elapsed time: 0.00974458 seconds
Elapsed time: 0.00976012 seconds
Elapsed time: 0.012446 seconds
Elapsed time: 0.00943387 seconds
Elapsed time: 0.00946379 seconds
Elapsed time: 0.00949287 seconds
Elapsed time: 0.00977225 seconds
Elapsed time: 0.00909104 seconds
Elapsed time: 0.00897875 seconds
Elapsed time: 0.00911829 seconds
Elapsed time: 0.00912429 seconds
Elapsed time: 0.00913963 seconds
Elapsed time: 0.00941263 seconds
Elapsed time: 0.00945679 seconds
Elapsed time: 0.00914129 seconds
Elapsed time: 0.00882808 seconds
Elapsed time: 0.00911175 seconds
Elapsed time: 0.008807 seconds
Elapsed time: 0.00877188 seconds
Elapsed time: 0.0101337 seconds
Elapsed time: 0.00948508 seconds
Elapsed time: 0.00941596 seconds
Elapsed time: 0.00942333 seconds
Elapsed time: 0.00945763 seconds
Elapsed time: 0.00943108 seconds
Elapsed time: 0.00959858 seconds
Elapsed time: 0.00911883 seconds
Elapsed time: 0.00941933 seconds
Elapsed time: 0.0102186 seconds
Elapsed time: 0.00910021 seconds
Elapsed time: 0.00945983 seconds
Elapsed time: 0.00941317 seconds
Elapsed time: 0.00942125 seconds
Elapsed time: 0.00947029 seconds
Elapsed time: 0.00945896 seconds
Elapsed time: 0.00943233 seconds
Elapsed time: 0.00948087 seconds
Elapsed time: 0.00954312 seconds
Elapsed time: 0.00951533 seconds
Elapsed time: 0.00943688 seconds
Elapsed time: 0.00942642 seconds
Elapsed time: 0.00942675 seconds
Elapsed time: 0.00942542 seconds
Elapsed time: 0.00943283 seconds
Elapsed time: 0.00944004 seconds
Elapsed time: 0.00946563 seconds
Elapsed time: 0.00941787 seconds
Elapsed time: 0.0094235 seconds
Elapsed time: 0.00945742 seconds
Elapsed time: 0.00941917 seconds
Elapsed time: 0.00944683 seconds
Elapsed time: 0.00946558 seconds
Elapsed time: 0.009421 seconds
Elapsed time: 0.00979175 seconds
Elapsed time: 0.00974742 seconds
Elapsed time: 0.009896 seconds
Elapsed time: 0.00974779 seconds
Elapsed time: 0.0104498 seconds
Elapsed time: 0.00944812 seconds
Elapsed time: 0.00941775 seconds
Elapsed time: 0.00947679 seconds
Elapsed time: 0.0094405 seconds
Elapsed time: 0.00945329 seconds
Elapsed time: 0.00961004 seconds
Elapsed time: 0.00945142 seconds
Elapsed time: 0.00942063 seconds
Elapsed time: 0.00945254 seconds
Elapsed time: 0.0094805 seconds
Elapsed time: 0.00958242 seconds
Elapsed time: 0.00948713 seconds
Elapsed time: 0.00913187 seconds
Elapsed time: 0.00943887 seconds
Elapsed time: 0.00944425 seconds
Elapsed time: 0.00990392 seconds
Elapsed time: 0.00942737 seconds
Elapsed time: 0.00944287 seconds
Elapsed time: 0.009484 seconds
Elapsed time: 0.00943554 seconds
Elapsed time: 0.00945446 seconds
Elapsed time: 0.0117748 seconds
Elapsed time: 0.0090995 seconds
Elapsed time: 0.00943825 seconds
Elapsed time: 0.00941025 seconds
Elapsed time: 0.00912304 seconds
Elapsed time: 0.00944437 seconds
Elapsed time: 0.0126463 seconds
Elapsed time: 0.0108769 seconds
Elapsed time: 0.00942292 seconds
Elapsed time: 0.0094205 seconds
Elapsed time: 0.00941946 seconds
Elapsed time: 0.00941471 seconds
Elapsed time: 0.00946125 seconds
Elapsed time: 0.00954292 seconds
Elapsed time: 0.00941821 seconds
Elapsed time: 0.00941783 seconds
Elapsed time: 0.00942258 seconds
Elapsed time: 0.00944383 seconds
Elapsed time: 0.00949662 seconds
Elapsed time: 0.0094425 seconds
Elapsed time: 0.00947567 seconds
Elapsed time: 0.00941512 seconds
Elapsed time: 0.00944917 seconds
Elapsed time: 0.00941575 seconds
Elapsed time: 0.009488 seconds
Elapsed time: 0.009413 seconds
Elapsed time: 0.00946692 seconds
Elapsed time: 0.00942479 seconds
Elapsed time: 0.00945104 seconds
Elapsed time: 0.00943258 seconds
Elapsed time: 0.00944067 seconds
Elapsed time: 0.00941929 seconds
Elapsed time: 0.00942746 seconds
Elapsed time: 0.00943446 seconds
Elapsed time: 0.00941671 seconds
Elapsed time: 0.00943142 seconds
Elapsed time: 0.0149249 seconds
Elapsed time: 0.00957663 seconds
Elapsed time: 0.00953804 seconds
Elapsed time: 0.00942367 seconds
Elapsed time: 0.00942562 seconds
Elapsed time: 0.00945104 seconds
Elapsed time: 0.0094715 seconds
Elapsed time: 0.00945688 seconds
Elapsed time: 0.009414 seconds
Elapsed time: 0.00947096 seconds
Elapsed time: 0.00942225 seconds
Elapsed time: 0.00944358 seconds
Elapsed time: 0.00910104 seconds
Elapsed time: 0.00943846 seconds
Elapsed time: 0.00941904 seconds
Elapsed time: 0.00941517 seconds
Elapsed time: 0.00945096 seconds
Elapsed time: 0.00942242 seconds
Elapsed time: 0.00942017 seconds
Elapsed time: 0.00945521 seconds
Elapsed time: 0.00941342 seconds
Elapsed time: 0.00965979 seconds
Elapsed time: 0.00941958 seconds
Elapsed time: 0.00946496 seconds
Elapsed time: 0.00946813 seconds
Elapsed time: 0.00946521 seconds
Elapsed time: 0.00943671 seconds
Elapsed time: 0.00945367 seconds
Elapsed time: 0.00943654 seconds
Elapsed time: 0.00941962 seconds
Elapsed time: 0.0104928 seconds
Elapsed time: 0.00946625 seconds
Elapsed time: 0.00945363 seconds
Elapsed time: 0.00942883 seconds
Elapsed time: 0.009429 seconds
Elapsed time: 0.00943283 seconds
Elapsed time: 0.0101679 seconds
Elapsed time: 0.00947475 seconds
Elapsed time: 0.00944204 seconds
Elapsed time: 0.00945125 seconds
Elapsed time: 0.00942017 seconds
Elapsed time: 0.00949508 seconds
Elapsed time: 0.00944104 seconds
Elapsed time: 0.00946621 seconds
Elapsed time: 0.00942283 seconds
Elapsed time: 0.00944112 seconds
Elapsed time: 0.00947162 seconds
Elapsed time: 0.00941425 seconds
Elapsed time: 0.00946671 seconds
Elapsed time: 0.0090995 seconds
Elapsed time: 0.00911025 seconds
Elapsed time: 0.00941629 seconds
Elapsed time: 0.00948817 seconds
Elapsed time: 0.0114419 seconds
Elapsed time: 0.00944496 seconds
Elapsed time: 0.00941821 seconds
Elapsed time: 0.00942963 seconds
Elapsed time: 0.00942017 seconds
Elapsed time: 0.00946187 seconds
Elapsed time: 0.0101333 seconds
Elapsed time: 0.00913683 seconds
Elapsed time: 0.00909887 seconds
Elapsed time: 0.009618 seconds
Elapsed time: 0.00941504 seconds
Elapsed time: 0.00944079 seconds
Elapsed time: 0.00948163 seconds
Elapsed time: 0.00943683 seconds
Elapsed time: 0.00942579 seconds
Elapsed time: 0.00942608 seconds
Elapsed time: 0.00951663 seconds
Elapsed time: 0.00943929 seconds
Elapsed time: 0.00946258 seconds
Elapsed time: 0.00944 seconds
Elapsed time: 0.00942858 seconds
Elapsed time: 0.00946279 seconds
Elapsed time: 0.00943454 seconds
Elapsed time: 0.00942704 seconds
Elapsed time: 0.00947871 seconds
Elapsed time: 0.00943171 seconds
Elapsed time: 0.00950317 seconds
Elapsed time: 0.00946 seconds
Elapsed time: 0.00941925 seconds
Elapsed time: 0.00943912 seconds
Elapsed time: 0.00948642 seconds
Elapsed time: 0.00942054 seconds
Elapsed time: 0.0088045 seconds
Elapsed time: 0.00944437 seconds
Elapsed time: 0.00945521 seconds
Elapsed time: 0.0106906 seconds
Elapsed time: 0.00970725 seconds
Elapsed time: 0.00941875 seconds
