lcTime pitch roll yaw velE velN velU lat lon height biasGx biasGy biasGz biasAx biasAy biasAz leverx levery leverz dt psrCorr psrRateDrift utc
1730951587 -1.104764596201e+00 -4.068783621782e+00 1.503433489345e+01 -2.538130281300e-01 3.698328485670e-01 9.975685277955e-01 5.595419109477e-01 2.073588126620e+00 3.684851442519e+01 -1.748431319900e-06 -2.948000210946e-06 -1.866742774725e-07 -2.124855774719e-05 -2.126469826013e-04 2.125887325127e-02 1.000027192821e-02 9.999893113311e-03 8.190899653609e-01 5.000765404976e-03 -1.331315337894e+05 9.856830211551e+00 0.000000000000e+00 
1730951587 -9.767425191891e-01 -3.656266214741e+00 1.510515620662e+01 -3.878537923595e-01 6.650518880722e-01 1.792642682860e+00 5.595419609468e-01 2.073587032085e+00 4.032426629221e+01 -1.206132505016e-05 -1.453823015069e-05 -9.238157024552e-07 3.174337729757e-03 -1.242715904876e-03 9.422133589969e-02 9.999683477299e-03 9.999753831690e-03 7.549789866962e-01 4.996966753746e-03 -1.331268508537e+05 1.559539806146e+00 0.000000000000e+00 
1730951588 -6.032999454493e-01 -3.472049056029e+00 1.520679437954e+01 -4.428217255914e-01 7.795964921540e-01 2.278930067227e+00 5.595420407094e-01 2.073586585524e+00 4.358443895200e+01 -3.885225734289e-05 -3.535171335208e-05 -2.134499520307e-06 9.570106670677e-03 -2.338895350971e-03 2.222400073642e-01 9.999240236671e-03 9.999444480759e-03 7.048694979959e-01 4.993851645126e-03 -1.331243659757e+05 1.085259625451e+00 0.000000000000e+00 
1730951588 -6.921762132677e-01 -3.399186531020e+00 1.534017468267e+01 -5.711510438592e-01 1.096109479424e+00 2.388762084298e+00 5.595421811173e-01 2.073586274364e+00 4.615061468434e+01 -6.843843301155e-05 -6.978029298748e-05 -5.167175525531e-06 1.691596965004e-02 -3.705331008808e-03 3.761723260416e-01 9.998943113927e-03 9.999178075707e-03 6.695112395115e-01 4.991943448906e-03 -1.331225902477e+05 9.302648693003e-01 0.000000000000e+00 
1730951588 -3.167024190923e-01 -3.321774871524e+00 1.549854622670e+01 -5.594409982749e-01 1.021702020216e+00 2.266842621599e+00 5.595422610900e-01 2.073586114832e+00 4.788529822445e+01 -1.202659180782e-04 -1.270731600618e-04 -9.199014667257e-06 2.376413960811e-02 -4.054047226317e-03 5.210539887879e-01 9.998719613849e-03 9.999246818304e-03 6.412687576372e-01 4.986958112410e-03 -1.331212571006e+05 8.741041154707e-01 0.000000000000e+00 
1730951588 1.660134319990e-02 -3.270553520258e+00 1.567518720974e+01 -5.423704849652e-01 8.369554863133e-01 2.048742391997e+00 5.595422807422e-01 2.073585974842e+00 4.934849163828e+01 -1.649230281510e-04 -2.045599974456e-04 -1.537020567227e-05 2.866822337520e-02 -2.645722691624e-03 6.375921673786e-01 9.998436680514e-03 9.999560176949e-03 6.075715444307e-01 4.980282967270e-03 -1.331203844522e+05 7.029048938022e-01 0.000000000000e+00 
1730951589 7.912376706943e-02 -3.176210684459e+00 1.577871182609e+01 -5.712880800397e-01 9.411111108166e-01 1.766456021324e+00 5.595423858273e-01 2.073585855780e+00 5.006134150217e+01 -1.789889460132e-04 -3.170038802629e-04 -2.091516053722e-05 3.225548102891e-02 -4.679749944002e-04 7.268388307057e-01 9.998238556081e-03 9.999700321367e-03 5.877915301470e-01 4.974779365676e-03 -1.331196751745e+05 6.415957801833e-01 0.000000000000e+00 
1730951589 1.438410708122e-01 -3.015111608351e+00 1.597500145749e+01 -5.467191859816e-01 9.072679801881e-01 1.507950050097e+00 5.595424465665e-01 2.073585773832e+00 5.064307211677e+01 -2.133360638998e-04 -4.504775308917e-04 -2.612619488882e-05 3.465040154722e-02 1.564096955821e-03 7.902448305643e-01 9.998020334270e-03 9.999718420255e-03 5.658716017051e-01 4.968393363365e-03 -1.331191252003e+05 5.735921078044e-01 0.000000000000e+00 
1730951589 2.819178753482e-01 -2.889610068440e+00 1.604920094915e+01 -4.877901486559e-01 7.945309718911e-01 1.312136667770e+00 5.595424563379e-01 2.073585741549e+00 5.102299308821e+01 -2.711936821832e-04 -5.960061029777e-04 -2.664110572838e-05 3.641022544423e-02 3.784327388875e-03 8.356929775006e-01 9.997851463870e-03 9.999766874838e-03 5.466034982560e-01 4.963754460985e-03 -1.331191552940e+05 4.389207675723e-01 0.000000000000e+00 
1730951589 3.951327465676e-01 -2.795556751519e+00 1.607357230888e+01 -4.239817591963e-01 6.867754026749e-01 1.135779337534e+00 5.595424610551e-01 2.073585711448e+00 5.145749469209e+01 -3.365094700402e-04 -7.360021640540e-04 -2.522193056190e-05 3.738380074785e-02 5.980794985312e-03 8.678144577422e-01 9.997709163038e-03 9.999741123936e-03 5.264035543096e-01 4.960338286364e-03 -1.331191622345e+05 3.327952704673e-01 0.000000000000e+00 
1730951589 5.043091280279e-01 -2.717425726245e+00 1.613366287138e+01 -3.584667705253e-01 5.995335336990e-01 9.992506234895e-01 5.595424570326e-01 2.073585681614e+00 5.169668785162e+01 -4.162052115551e-04 -8.488666760953e-04 -2.382497537525e-05 3.777684774066e-02 8.181403033506e-03 8.922173575823e-01 9.997618230203e-03 9.999716188498e-03 5.107095944436e-01 4.957962879285e-03 -1.331192387973e+05 2.580733801825e-01 0.000000000000e+00 
1730951590 6.493263017794e-01 -2.600357290161e+00 1.624173560353e+01 -2.938664868898e-01 4.867191237719e-01 8.835587227184e-01 5.595424335776e-01 2.073585657247e+00 5.189979423349e+01 -5.271342053015e-04 -9.311004456942e-04 -2.114500886259e-05 3.787431937437e-02 1.027314613383e-02 9.104385076020e-01 9.997536856987e-03 9.999679165186e-03 4.965261991576e-01 4.956614963932e-03 -1.331194016938e+05 1.879171394087e-01 0.000000000000e+00 
1730951590 7.366394766917e-01 -2.550719630235e+00 1.625332234525e+01 -2.238584939167e-01 4.066102449066e-01 7.968654180250e-01 5.595424208082e-01 2.073585635205e+00 5.215972900242e+01 -6.325602855396e-04 -9.807367225836e-04 -1.742767083962e-05 3.788394405327e-02 1.207688450555e-02 9.240655158870e-01 9.997491309432e-03 9.999606406236e-03 4.824752650834e-01 4.956595098498e-03 -1.331194448524e+05 1.456986576037e-01 0.000000000000e+00 
1730951590 8.844897678138e-01 -2.520837201702e+00 1.619538114184e+01 -1.173292328906e-01 2.352228615363e-01 7.171621276492e-01 5.595423573381e-01 2.073585644267e+00 5.231274956027e+01 -8.180612688803e-04 -9.844069208888e-04 -6.505837181185e-06 3.807837553472e-02 1.394510274622e-02 9.348713142050e-01 9.997509292919e-03 9.999531576838e-03 4.712909775604e-01 4.957828332011e-03 -1.331196789521e+05 9.205604528045e-02 0.000000000000e+00 
1730951590 9.798663786986e-01 -2.505660338569e+00 1.614559078045e+01 -5.294827358082e-02 1.476726587827e-01 6.572188274043e-01 5.595423194441e-01 2.073585646539e+00 5.255210735849e+01 -9.333441559200e-04 -9.639368671651e-04 6.724012942119e-07 3.819603361040e-02 1.544819188397e-02 9.430162038963e-01 9.997512368211e-03 9.999448774626e-03 4.603435499101e-01 4.959324310350e-03 -1.331198954191e+05 4.280287046362e-02 0.000000000000e+00 
1730951590 1.298081087356e+00 -2.517032858543e+00 1.834981881975e+01 -1.338199180779e-01 4.472188914319e-01 5.917386173883e-01 5.595422963757e-01 2.073585648994e+00 5.271729220291e+01 -1.042633033120e-03 -9.382416376888e-04 7.950635190257e-06 3.828752897377e-02 1.687868975216e-02 9.497125790287e-01 9.997542079822e-03 9.999430360010e-03 4.515126588863e-01 4.961059649154e-03 -1.331197387256e+05 7.162774828444e-02 0.000000000000e+00 
